doc_id,baseline_x,baseline_y,run_x,run_y,displacement
doc_1206,11.49062,10.445162,11.49062,10.445162,0.0
doc_1207,10.88622,9.042009,10.88622,9.042009,0.0
doc_1208,9.783845,11.295177,9.783845,11.295177,0.0
doc_1209,10.733784,10.378104,10.733784,10.378104,0.0
doc_1210,9.442473,9.547709,9.442473,9.547709,0.0
doc_1211,12.46175,9.685532,12.46175,9.685532,0.0
doc_1212,12.428935,8.426586,12.428935,8.426586,0.0
doc_1213,11.232817,8.820598,11.232817,8.820598,0.0
doc_1214,12.1595545,9.3735075,12.1595545,9.3735075,0.0
doc_1215,12.7627,8.878253,12.7627,8.878253,0.0
doc_1216,12.399042,9.639555,12.399042,9.639555,0.0
doc_1217,12.567556,9.253268,12.567556,9.253268,0.0
doc_1218,10.498084,9.889665,10.498084,9.889665,0.0
doc_1219,10.975861,11.564519,10.975861,11.564519,0.0
doc_1220,9.74241,11.276766,9.74241,11.276766,0.0
doc_1221,9.777751,11.310959,9.777751,11.310959,0.0
doc_1222,9.692663,11.273512,9.692663,11.273512,0.0
doc_1223,9.907025,11.386295,9.907025,11.386295,0.0
doc_1224,11.148911,12.385936,11.148911,12.385936,0.0
doc_1225,8.577282,15.140299,8.577282,15.140299,0.0
doc_1226,12.132053,11.817123,12.132053,11.817123,0.0
doc_1227,13.330492,10.806957,13.330492,10.806957,0.0
doc_1228,11.914789,11.32104,11.914789,11.32104,0.0
doc_1229,13.410012,10.57068,13.410012,10.57068,0.0
doc_1230,12.439137,10.092831,12.439137,10.092831,0.0
doc_1231,11.761914,9.894062,11.761914,9.894062,0.0
doc_1232,12.59106,10.6061,12.59106,10.6061,0.0
doc_1233,12.53381,9.517516,12.53381,9.517516,0.0
doc_1234,12.437293,9.311948,12.437293,9.311948,0.0
doc_1235,11.992376,11.837926,11.992376,11.837926,0.0
doc_1236,9.587435,11.81328,9.587435,11.81328,0.0
doc_1237,13.043178,12.72328,13.043178,12.72328,0.0
doc_1238,11.041258,12.702812,11.041258,12.702812,0.0
doc_1239,9.448925,11.819342,9.448925,11.819342,0.0
doc_1240,11.733657,10.645709,11.733657,10.645709,0.0
doc_1241,11.7570715,11.605781,11.7570715,11.605781,0.0
